name,subtype,rules_text,chaos,artist,source,type
The Western Cloud,Gobakhan,"Prevent all damage that would be dealt to creatures and planeswalkers you control. Whenever chaos ensues, create three tapped Treasure tokens. They each deal 1 damage to each creature and each planeswalker.",create three tapped Treasure tokens,,March of the Machine Commander (MOC),universe
The Wilds,Eldraine,"When you planeswalk to The Wilds and at the beginning of your upkeep, create a Food token. Whenever chaos ensues, target player sacrifices a creature of their choice. If they do, you create a Food token. You create two Food tokens instead if the sacrificed creature’s toughness was 4 or greater.",target player sacrifices a creature of their choice,,March of the Machine Commander (MOC),universe
The Windy City,Chicago,"When you planeswalk here, at the beginning of your upkeep, or whenever chaos ensues, put a flying counter on target creature you control without flying. When you planeswalk away, exile all creatures with flying until the beginning of the next end step. Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.",,,Unknown Event (DA1),special
The Zephyr Maze,Kyneth,"Creatures with flying get +2/+0. Creatures without flying get -2/-0. Whenever chaos ensues, target creature gains flying until end of turn.",target creature gains flying until end of turn,,Planechase Anthology Planes (OPCA),universe
Towashi,Kamigawa,"Modified creatures you control have trample and “Whenever this creature deals combat damage to a player or planeswalker, draw a card.” (Equipment, Auras you control, and counters are modifications.) Whenever chaos ensues, distribute three +1/+1 counters among one, two, or three target creatures you control.","distribute three +1/+1 counters among one, two, or three target creatures you control",,March of the Machine Commander (MOC),universe
Trail of the Mage-Rings,Vryn,"Instant and sorcery spells have rebound. (The spell’s controller exiles the spell as it resolves if they cast it from their hand. At the beginning of that player’s next upkeep, they may cast that card from exile without paying its mana cost.) Whenever chaos ensues, you may search your library for an instant or sorcery card, reveal it, put it into your hand, then shuffle.","you may search your library for an instant or sorcery card, reveal it, put it into your hand, then shuffle",,Planechase Anthology Planes (OPCA),universe
Truga Jungle,Ergamon,"All lands have “{T}: Add one mana of any color.” Whenever chaos ensues, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest on the bottom of your library in any order.",reveal the top three cards of your library,,March of the Machine Commander (MOC),universe
Turri Island,Ir,"Creature spells cost {2} less to cast. Whenever chaos ensues, reveal the top three cards of your library. Put all creature cards revealed this way into your hand and the rest into your graveyard.",reveal the top three cards of your library,,March of the Machine Commander (MOC),universe
Two Streams Facility,Apalapucia,"Whenever you planeswalk to Two Streams Facility and at the beginning of the first upkeep of the game, each player chooses green anchor or red waterfall. Each player who last chose green anchor may play an additional land during each of their turns. Creatures controlled by players who last chose red waterfall get +2/+0 and have haste. Whenever chaos ensues, each player who last chose green anchor chooses red waterfall, and vice versa.","each player who last chose green anchor chooses red waterfall, and vice versa",,Doctor Who (WHO),doctorwho
Undercity Reaches,Ravnica,"Whenever a creature deals combat damage to a player, its controller may draw a card. Whenever chaos ensues, you have no maximum hand size for the rest of the game.",you have no maximum hand size for the rest of the game,,March of the Machine Commander (MOC),universe
UNIT Headquarters,Earth,"When you planeswalk to UNIT Headquarters and at the beginning of your upkeep, create a tapped 1/1 white Soldier creature token. Whenever chaos ensues, put a +1/+1 counter on each creature you control.",put a +1/+1 counter on each creature you control,,Doctor Who (WHO),doctorwho
Unyaro,Zhalfir,"At the beginning of your end step, if you planeswalked to Unyaro this turn, untap all creatures. They phase out until a player planeswalks. (Treat them and anything attached to them as though they didn’t exist.) Whenever chaos ensues, create two 2/2 white and blue Knight creature tokens with vigilance.",create two 2/2 white and blue Knight creature tokens with vigilance,,March of the Machine Commander (MOC),universe
Valor's Reach,Kylem,"Whenever your team attacks with exactly two creatures, those creatures gain double strike until end of turn. Whenever chaos ensues, untap up to two target creatures your team controls. If it’s a main phase, there is an additional combat phase after this phase, followed by an additional main phase.",untap up to two target creatures your team controls,,March of the Machine Commander (MOC),universe
Velis Vel,Lorwyn,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Elemental Shamans and an Elemental Spirit are on the battlefield, each gets +2/+2.) Whenever chaos ensues, target creature gains all creature types until end of turn.",target creature gains all creature types until end of turn,,Planechase Anthology Planes (OPCA),universe
Windmill Farm,Amsterdam,"When you planeswalk here and at the beginning of your upkeep, create a Tulip Petal artifact token that has “{T}, Sacrifice this artifact: Add one mana of any color.” Chaos: Spin this plane until the arrow lands on a permanent. If the plane rotated at least 360 degrees during the spin, create a token that’s a copy of that permanent. Not Legal This version of this card is oversized with a non-standard Magic back. It is not legal for constructed play.",,,Unknown Event (DA1),special
Windriddle Palaces,Belenon,"Players play with the top card of their libraries revealed. You may play lands and cast spells from the top of any player’s library. Whenever chaos ensues, each player mills a card.",each player mills a card,,Planechase Anthology Planes (OPCA),universe
